event_id,name,name_long,name_subtitle,use_type,location_type,date_start,date_end,description,facility_name,facility_id,site_name,site_id,unit_name,level_name,level_number,source_name,source_path,source_type,source_method,image_url,objectid
3,OFA Dance Program Community Classes,,,Classes/Workshops,Indoors,"3/29/2026, 8:00:00 PM","3/31/2026, 12:00:00 AM","Non-credit community classes in a broad range of movement styles and dance traditions for all levels and abilities. Taught by the OFA Dance Program's teaching artists– local professional dancers, pedagogues, and culture bearers– classes are designed to be inclusive, joyful, and culturally rooted, allowing participants to expand their understanding of dance and to connect to themselves and each other authentically. Several classes feature live music, and most don’t require any previous dance experience.",,,,,"Harvard Dance Center
66 Garden St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgCpXRK-Yav2jOjU0xN2FfYw.jpg,38223
2,In Memory of Gustavo Gutiérrez: 50 years of Liberation Theology,,,Exhibitions,Indoors,"3/29/2026, 8:00:00 PM","3/31/2026, 12:00:00 AM","An exhibit focused on the life and work of one of the most influential theologians of the 20th century, Gustavo Gutiérrez, and his role in the founding and development of liberation theology.
  
Liberation theology is a religious, social, and political movement originating in Latin America in the mid-twentieth century. Inspired by the Gospels, liberation theology stands in solidarity with those in the margins of society and strives to eradicate all forms of oppression. Ultimately, liberation theology’s goal is that all of us, but especially the poor, can flourish in communion with God and the neighbor. Gustavo Gutiérrez’s magnum opus, Teología de la liberación (1971), gave name and its foundational articulation to this theological tradition.",,,,,"Harvard Divinity School Library
45 Francis Ave
Cambridge",,,,,,,https://www.trumba.com/i/DgDmFo6AsEBdg1bg3JZAcB8J.jpg,38224
5,Morning Prayers,,,Music,Indoors,"3/30/2026, 4:30:00 AM","3/30/2026, 8:45:00 AM","The daily Morning Prayers service is conducted each weekday morning from 8:30 to 8:45 a.m. in Appleton Chapel during the academic term. The service consists of music, prayer, and a brief address by a member or friend of the University.",,,,,"The Memorial Church of Harvard University
One Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgCdpLvQzl34AJvHf9Oc2SOG.jpg,38222
7,Cooking Up Change: Women’s Agency and Community Building Through Cookbooks,,,Art/Design,Indoors,"3/30/2026, 5:00:00 AM","3/30/2026, 4:30:00 PM","Drawn from the Schlesinger Library’s collection of more than 4,300 community cookbooks, ‘Cooking Up Change: Women’s Agency and Community Building Through Cookbooks’ explores the cultural and historical significance of community cookbooks from the nineteenth century to today. These volumes document how women’s groups across religious, educational, and civic organizations raised funds while preserving the social histories and culinary traditions of their communities.

Featuring cookbooks from diverse geographic regions and racial and ethnic communities, the exhibition highlights the intersection of foodways and community advocacy. Archival materials from local organizations reveal how these cookbooks were produced and marketed, while handmade and artistically embellished volumes underscore the creative labor involved. Annotated, food-stained pages attest to their everyday use and lasting presence in homes. Through recipes and reflections, ‘Cooking Up Change’ celebrates shared cooking traditions and the enduring power of women-led community building through the kitchen.",,,,,"Lia and William Poorvu Gallery, Schlesinger Library
3 James St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgBdWFttnotlKR4SgHY-6%2Adz.jpg,38220
6,Castaway: The Afterlife of Plastic,,,Art/Design,Indoors,"3/30/2026, 5:00:00 AM","3/30/2026, 5:00:00 PM","In this exhibition, the art collective TRES invites us to share their 2016 journey to document, collect, and photograph debris along the beaches of Australia. Evoking archaeology, marine biology, and cartography, their images summon us to more deeply engage with the natural vistas and objects they have encountered, and to examine and interpret them with fresh perspectives.

TRES transports us with photographs of glowing orbs that resemble celestial spheres more than the bottle caps they once were. Making their way as garbage to Australia from as far away as China, these objects have been scarred by Bryozoa, tiny micro-organisms which can be seen in the display case in this exhibition. Now, plastic items such as these lay scattered about the otherwise pristine-appearing landscapes.

The rhythmic flow of images challenges us to make sense of the terrain. With hand-drawn maps and charts, TRES attempts to bring order to a perplexing world, where plastic objects resemble organic ones, and “natural” landscapes bear unmistakable traces of human-made pollution.",,,,,"Peabody Museum of Archaeology & Ethnology
11 Divinity Ave
Cambridge",,,,,,,https://www.trumba.com/i/DgBX9RdVoStNT2N%2A1g4GEFiO.jpg,38221
1,Sea Monsters: Wonders of Nature and Imagination,,,Education,Indoors,"3/30/2026, 5:00:00 AM","6/26/2026, 5:00:00 PM","Embark on a daring voyage into the depths of human imagination at the Harvard Museum of Natural History’s new exhibition, Sea Monsters: Wonders of Nature and Imagination. Featuring ancient mariners' maps, literature, works of art, and natural history specimens, this exhibit explores the allure of serpents, krakens, and other monsters of the deep. Peer into the minds of scholars from centuries past, and study sea creatures whose real lives are often more astonishing than the fantastical beings we might have imagined. Dive into the ocean of human consciousness, where dreams and fears entwine with reality, offering profound insights into our world and ourselves. Join us in unraveling the mysteries of the deep sea and the human psyche, where sea monsters—both real and imagined—beckon us to explore the unknown.",,,,,"Harvard Museum of Natural History
26 Oxford St.
Cambridge",,,,,,,https://www.trumba.com/i/DgDdiwJjh1qSMjL1EhPk55io.jpg,38225
12,Thanks for Typing: Women’s Type Labor in Literature and the Arts,,,Exhibitions,Indoors,"3/30/2026, 6:00:00 AM","3/30/2026, 5:00:00 PM","From the poems of Emily Dickinson to Vladimir Nabokov’s ""Lolita,"" many of the masterworks of modern literature were originally written by hand, then typed. But their creators were rarely the ones to type them. This work was performed by typists—usually women—working for love, money, or both. Largely uncredited, this labor has generally been undervalued and misunderstood, with the typists seen as mere conduits for the writing that passed through their hands. 

Recent scholars have started to challenge these assumptions about typists and their work. Borrowing its title from a 2021 essay collection edited by Juliana Dresvina, the exhibition Thanks for Typing builds on this scholarship, drawing on the collections at Houghton Library to spotlight typists’ contributions to literature, theater, film, and dance. In addition, the exhibition puts typists in context by showing the technical skill required for their work and exploring portrayals of typists in popular culture. 

Co-curated by Christine Jacobson, Associate Curator of Modern Books and Manuscripts, and Dale Stinchcomb, Drue Heinz Curator of Literary and Historical Manuscripts at The Morgan Library & Museum.",,,,,"Houghton Library
Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgABag3V4vbou%2AapSJ4Vp4od.jpg,38216
11,New Acquisitions,,,Exhibitions,Indoors,"3/30/2026, 6:00:00 AM","3/30/2026, 5:00:00 PM","Curated by Houghton Library staff members, the “New Acquisitions” lobby display features recent additions to our collections. Widely disparate in content and format, they reflect Harvard Library’s commitment to collecting materials that document a broad range of human experience. 

Among the highlights are: 

- the first complete Bible printed in the Georgian language in 1743
- a poster from a larger collection of ephemera documenting the performances of the Deer Family
- Sylvia Plath’s copy of Thomas Hardy’s celebrated Victorian novel ""Far from the Madding Crowd""
- a 1910 memoir written by Japanese kabuki actors about their U.S. tour paired with a contemporaneous poster from a kabuki theater in Japan
- a devotional leaf featuring Saint Augustine with the Eagle of Saint John and Saint Bridget",,,,,"Houghton Library
Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgAvAEjLInTNwXP4nwuo46h8.jpg,38217
9,Experimental Photography on Clay,,,Art/Design,Indoors,"3/30/2026, 6:00:00 AM","3/30/2026, 4:00:00 PM","Curated by artist and educator Anne Eder, this exhibition presents works and material experiments in light-sensitive image making on ceramic surfaces by students from Experimental Photography on Clay, a course Eder teaches exclusively through the Ceramics Program, Office for the Arts at Harvard. This cohort of international artists working in clay and photography is motivated by a shared curiosity about what happens when light, chemistry, and clay meet.

Exhibition dates: March 9 - April 24, 2026
Reception: Friday, March 13 from 5-7pm.",,,,,"Ceramics Program, Office for the Arts at Harvard
224 Western Ave
Allston",,,,,,,https://www.trumba.com/i/DgB10cDzhYnOqNDfTUWiYD0w.jpg,38218
8,Cataloging the Sky: John Flamsteed and the Royal Greenwich Observatory,,,Exhibitions,Indoors,"3/30/2026, 6:00:00 AM","3/30/2026, 5:00:00 PM","In celebration of the Royal Greenwich Observatory’s 350th anniversary, this work on display is one of the few surviving copies of a pirated edition of star charts produced by the observatory’s inaugural Astronomer Royal, John Flamsteed, without his permission. Outraged, the latter unrelentingly hunted down every copy of the work he could, and ultimately burned some 300 of the 400 printed.",,,,,"Houghton Library
Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgCb2bxpLZgewfgXQxEavcCg.jpg,38219
13,Japan in the Age of Disruption: Domestic and Global Policy Challenges,,,Conferences,Indoors,"3/30/2026, 8:00:00 AM","3/30/2026, 1:00:00 PM","Image credit:&nbsp;<a href=""https://japan.kantei.go.jp/104/actions/202510/28yokosuka.html"" target=""_blank"" rel=""noopener noreferrer"">Official Website of the Prime Minister&rsquo;s Office of Japan</a>
&nbsp;",,,,,"Bowie-Vernon Conference Room (K262)
CGIS Knafel Building
1737 Cambridge St.
Cambridge",,,,,,,https://www.trumba.com/i/DgBAiz28XrieUsEQaVtBpDk8.jpg,38215
15,"The Other Side of Hollywood: A 1,000 Year Old Epic Based on the Book of Dede Korkut",,,Art/Design,Indoors,"3/30/2026, 1:30:00 PM","3/30/2026, 7:30:00 PM","""The Other Side of Hollywood: A 1,000 Year-Old Epic Based on the Book of Dede Korkut"".

A solo shadow puppet performance of Ayhan Hulagu.

""The Other Side of Hollywood"" is a free adaptation of 'Deli Dumrul', one of the oldest Turkish literary works, believed to have been written in the 10th century as part of the Dede Korkut stories. Rewriting and transporting the tale to Hollywood, Ayhan Hulagu weaves a fantastical world where humor, tradition, and modernity intertwine across cultures.

The story of 'Deli Dumrul', a part of the Dede Korkut tales, revolves around a brave but arrogant warrior named Dumrul. He builds a bridge in a desolate area and seeks to profit unjustly from those who cross it. One day, a man dies near the bridge, prompting Dumrul to challenge Azrael, the Angel of Death. God punishes to teach him humility: Dumrul must find someone willing to sacrifice their life for him.

In this new adaptation, the tale is transported to Hollywood, with Karagöz now taking up Dumrul’s role at the bridge. But this bridge is unlike any other—it connects good and evil, beauty and ugliness, this world and the afterlife. Karagöz, continuing to pursue unjust gains, crosses paths with Azrael once again. To save his life, he must find another soul to take his place. Along the way, he encounters stars like William Shakespeare, Charlie Chaplin, and Marlon Brando, who have crossed from the other world to this one, leading to humorous and entertaining attempts to get what he needs.

Combining the story of 'Deli Dumrul', listed by UNESCO as part of humanity’s cultural heritage, with traditional Turkish shadow theater, also recognized by UNESCO, Ayhan Hulagu builds a cultural bridge between traditions. The artist crafts all characters by hand, transferring them onto leather in the traditional style, and performs every role himself, bringing the tale to life in a one-of-a-kind performance.

For ages 12+. Running time: 1 hour. Open to the public.",,,,,"CMES, Room 102
38 Kirkland St.
Cambridge",,,,,,,https://www.trumba.com/i/DgD8-pKqmrW8E%2AHExb0GLYyG.png,38214
16,German Memory Culture and the Place of Grief,,,Humanities,Indoors,"3/30/2026, 2:00:00 PM","3/30/2026, 7:30:00 PM","When Hannah Arendt visited Berlin in 1950, she diagnosed Germany with an &ldquo;inability to mourn&rdquo; the devastating losses of the second world war and the Holocaust. Since then, German memory culture has transformed significantly from an early suppression of remembrance to a &ldquo;memory boom&rdquo; in the wake of the country&rsquo;s reunification. These developments notwithstanding, the discourse on the &ldquo;inability to mourn&rdquo; never fully disappeared, finding new articulations amidst political and social transformations in the 2000s.

This talk takes up the long discourse on the German inability to grieve and pairs it with insights from Simone Stirner&rsquo;s forthcoming book, Poetic Grief: Form and Remembrance after National Socialism, a comparative study that advances a new understanding of post-Holocaust poetry by centering the relation between poetic form and the affective experience of grief. To confront the force of grief in poetry, this talk argues, allows us to rethink its place in cultures of remembrance, to see where it has been repressed and instrumentalized, and to create openings that respond to what cannot be contained and conceptualized about loss.",,,,,"CGIS South
1730 Cambridge St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgB0MgliDJChYCDrhl0piXk2.jpg,38213
18,Perspectives on Performance with Milo Rau - TDM Theater & Film Residency,,,Film,Indoors,"3/30/2026, 2:30:00 PM","3/30/2026, 8:00:00 PM","Theater, Dance & Media is excited to welcome renowned theater and film artist Milo Rau to campus for a three-day residency, March 30-April 1, curated by TDM Senior Lecturer Tania Bruguera. 

Perspectives on Performance with Milo Rau
A TDM, lecture-based series that invites prominent artists and academics working at the edges of their disciplines to speak about their work in and on interdisciplinary performance.

For more information on the other events throughout the residency, please visit the event webpage at https://tdm.fas.harvard.edu/event/milo-rau-theater-film-residency.",,,,,"Farkas Hall, Room 203
12 Holyoke St.
Cambridge",,,,,,,https://www.trumba.com/i/DgDMrvvjHrgJG%2AkaoypcsrSQ.jpg,38212
20,Barry Lyndon,,,Film,Indoors,"3/30/2026, 3:00:00 PM","3/30/2026, 10:00:00 PM","The reverse zoom shot, a technique employed to striking effect across Kubrick’s filmography, is elevated to an ethos in Barry Lyndon, the director’s lone foray into the costume drama. Recounting the decades-spanning rise and fall of the eponymous rogue (Ryan O’Neal) in 18th century Europe, the film places its audience in the position of bemused voyeurs rather than narrative participants, with the painterly photography and proscenium framing emphasizing our temporal and cultural remove from the action.",,,,,"Harvard Film Archive
24 Quincy St.
Cambridge",,,,,,,https://www.trumba.com/i/DgDgt5%2ABO6TM4GxtalkkwB7c.jpg,38211
22,OFA Dance Program Community Classes,,,Classes/Workshops,Indoors,"3/30/2026, 8:00:00 PM","4/1/2026, 12:00:00 AM","Non-credit community classes in a broad range of movement styles and dance traditions for all levels and abilities. Taught by the OFA Dance Program's teaching artists– local professional dancers, pedagogues, and culture bearers– classes are designed to be inclusive, joyful, and culturally rooted, allowing participants to expand their understanding of dance and to connect to themselves and each other authentically. Several classes feature live music, and most don’t require any previous dance experience.",,,,,"Harvard Dance Center
66 Garden St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgCpXRK-Yav2jOjU0xN2FfYw.jpg,38209
21,In Memory of Gustavo Gutiérrez: 50 years of Liberation Theology,,,Exhibitions,Indoors,"3/30/2026, 8:00:00 PM","4/1/2026, 12:00:00 AM","An exhibit focused on the life and work of one of the most influential theologians of the 20th century, Gustavo Gutiérrez, and his role in the founding and development of liberation theology.
  
Liberation theology is a religious, social, and political movement originating in Latin America in the mid-twentieth century. Inspired by the Gospels, liberation theology stands in solidarity with those in the margins of society and strives to eradicate all forms of oppression. Ultimately, liberation theology’s goal is that all of us, but especially the poor, can flourish in communion with God and the neighbor. Gustavo Gutiérrez’s magnum opus, Teología de la liberación (1971), gave name and its foundational articulation to this theological tradition.",,,,,"Harvard Divinity School Library
45 Francis Ave
Cambridge",,,,,,,https://www.trumba.com/i/DgDmFo6AsEBdg1bg3JZAcB8J.jpg,38210
24,Morning Prayers,,,Music,Indoors,"3/31/2026, 4:30:00 AM","3/31/2026, 8:45:00 AM","The daily Morning Prayers service is conducted each weekday morning from 8:30 to 8:45 a.m. in Appleton Chapel during the academic term. The service consists of music, prayer, and a brief address by a member or friend of the University.",,,,,"The Memorial Church of Harvard University
One Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgCdpLvQzl34AJvHf9Oc2SOG.jpg,38208
26,Cooking Up Change: Women’s Agency and Community Building Through Cookbooks,,,Art/Design,Indoors,"3/31/2026, 5:00:00 AM","3/31/2026, 4:30:00 PM","Drawn from the Schlesinger Library’s collection of more than 4,300 community cookbooks, ‘Cooking Up Change: Women’s Agency and Community Building Through Cookbooks’ explores the cultural and historical significance of community cookbooks from the nineteenth century to today. These volumes document how women’s groups across religious, educational, and civic organizations raised funds while preserving the social histories and culinary traditions of their communities.

Featuring cookbooks from diverse geographic regions and racial and ethnic communities, the exhibition highlights the intersection of foodways and community advocacy. Archival materials from local organizations reveal how these cookbooks were produced and marketed, while handmade and artistically embellished volumes underscore the creative labor involved. Annotated, food-stained pages attest to their everyday use and lasting presence in homes. Through recipes and reflections, ‘Cooking Up Change’ celebrates shared cooking traditions and the enduring power of women-led community building through the kitchen.",,,,,"Lia and William Poorvu Gallery, Schlesinger Library
3 James St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgBdWFttnotlKR4SgHY-6%2Adz.jpg,38206
25,Castaway: The Afterlife of Plastic,,,Art/Design,Indoors,"3/31/2026, 5:00:00 AM","3/31/2026, 5:00:00 PM","In this exhibition, the art collective TRES invites us to share their 2016 journey to document, collect, and photograph debris along the beaches of Australia. Evoking archaeology, marine biology, and cartography, their images summon us to more deeply engage with the natural vistas and objects they have encountered, and to examine and interpret them with fresh perspectives.

TRES transports us with photographs of glowing orbs that resemble celestial spheres more than the bottle caps they once were. Making their way as garbage to Australia from as far away as China, these objects have been scarred by Bryozoa, tiny micro-organisms which can be seen in the display case in this exhibition. Now, plastic items such as these lay scattered about the otherwise pristine-appearing landscapes.

The rhythmic flow of images challenges us to make sense of the terrain. With hand-drawn maps and charts, TRES attempts to bring order to a perplexing world, where plastic objects resemble organic ones, and “natural” landscapes bear unmistakable traces of human-made pollution.",,,,,"Peabody Museum of Archaeology & Ethnology
11 Divinity Ave
Cambridge",,,,,,,https://www.trumba.com/i/DgBX9RdVoStNT2N%2A1g4GEFiO.jpg,38207
32,Thanks for Typing: Women’s Type Labor in Literature and the Arts,,,Exhibitions,Indoors,"3/31/2026, 6:00:00 AM","3/31/2026, 5:00:00 PM","From the poems of Emily Dickinson to Vladimir Nabokov’s ""Lolita,"" many of the masterworks of modern literature were originally written by hand, then typed. But their creators were rarely the ones to type them. This work was performed by typists—usually women—working for love, money, or both. Largely uncredited, this labor has generally been undervalued and misunderstood, with the typists seen as mere conduits for the writing that passed through their hands. 

Recent scholars have started to challenge these assumptions about typists and their work. Borrowing its title from a 2021 essay collection edited by Juliana Dresvina, the exhibition Thanks for Typing builds on this scholarship, drawing on the collections at Houghton Library to spotlight typists’ contributions to literature, theater, film, and dance. In addition, the exhibition puts typists in context by showing the technical skill required for their work and exploring portrayals of typists in popular culture. 

Co-curated by Christine Jacobson, Associate Curator of Modern Books and Manuscripts, and Dale Stinchcomb, Drue Heinz Curator of Literary and Historical Manuscripts at The Morgan Library & Museum.",,,,,"Houghton Library
Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgABag3V4vbou%2AapSJ4Vp4od.jpg,38201
31,New Acquisitions,,,Exhibitions,Indoors,"3/31/2026, 6:00:00 AM","3/31/2026, 5:00:00 PM","Curated by Houghton Library staff members, the “New Acquisitions” lobby display features recent additions to our collections. Widely disparate in content and format, they reflect Harvard Library’s commitment to collecting materials that document a broad range of human experience. 

Among the highlights are: 

- the first complete Bible printed in the Georgian language in 1743
- a poster from a larger collection of ephemera documenting the performances of the Deer Family
- Sylvia Plath’s copy of Thomas Hardy’s celebrated Victorian novel ""Far from the Madding Crowd""
- a 1910 memoir written by Japanese kabuki actors about their U.S. tour paired with a contemporaneous poster from a kabuki theater in Japan
- a devotional leaf featuring Saint Augustine with the Eagle of Saint John and Saint Bridget",,,,,"Houghton Library
Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgAvAEjLInTNwXP4nwuo46h8.jpg,38202
29,Experimental Photography on Clay,,,Art/Design,Indoors,"3/31/2026, 6:00:00 AM","3/31/2026, 4:00:00 PM","Curated by artist and educator Anne Eder, this exhibition presents works and material experiments in light-sensitive image making on ceramic surfaces by students from Experimental Photography on Clay, a course Eder teaches exclusively through the Ceramics Program, Office for the Arts at Harvard. This cohort of international artists working in clay and photography is motivated by a shared curiosity about what happens when light, chemistry, and clay meet.

Exhibition dates: March 9 - April 24, 2026
Reception: Friday, March 13 from 5-7pm.",,,,,"Ceramics Program, Office for the Arts at Harvard
224 Western Ave
Allston",,,,,,,https://www.trumba.com/i/DgB10cDzhYnOqNDfTUWiYD0w.jpg,38203
28,Celtic Art Across the Ages,,,Art/Design,Indoors,"3/31/2026, 6:00:00 AM","3/31/2026, 5:00:00 PM","When you think of the word “Celtic,” what do you picture? Perhaps intricate knotwork designs, legendary warriors, or mystical spirituality? Maybe even a certain NBA team? Celtic Art Across the Ages will introduce visitors to the worlds of the various peoples who were historically labeled “Celts”—through the objects they created, the interactions they had across the European continent, and the myths that shaped their legacy, then as now. The exhibition stretches from 800 BCE through today, showcasing the craftsmanship, innovation, cultural connections, and multilayered reception that characterized Celtic art in Europe and beyond.",,,,,"Harvard Art Museums
32 Quincy St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgBKro7ME%2AKE5xyvcf6LMPs1.jpg,38204
27,Cataloging the Sky: John Flamsteed and the Royal Greenwich Observatory,,,Exhibitions,Indoors,"3/31/2026, 6:00:00 AM","3/31/2026, 5:00:00 PM","In celebration of the Royal Greenwich Observatory’s 350th anniversary, this work on display is one of the few surviving copies of a pirated edition of star charts produced by the observatory’s inaugural Astronomer Royal, John Flamsteed, without his permission. Outraged, the latter unrelentingly hunted down every copy of the work he could, and ultimately burned some 300 of the 400 printed.",,,,,"Houghton Library
Harvard Yard
Cambridge",,,,,,,https://www.trumba.com/i/DgCb2bxpLZgewfgXQxEavcCg.jpg,38205
34,Eve Fowler: words doing as they want to do,,,Art/Design,Indoors,"3/31/2026, 8:00:00 AM","3/31/2026, 4:45:00 PM","‘words doing as they want to do’ builds on Eve Fowler’s decades-long practice at the intersection of language, poetry, and visual art. Drawing from sustained engagement with feminist texts and the visual potential of language, the exhibition presents new paintings alongside a zine-style artist book.

Fowler’s text-based works explore the materiality and rhythm of language through bold, abstract compositions. The artist book gathers photographs made over several decades in collaboration with artists, filmmakers, and curators, forming a visual diary that bridges personal archive and collective memory. Accessible and intimate, the book functions both as a standalone work and a companion to the paintings.

While a Radcliffe fellow in 2018–2019, Fowler developed the ten-part film with it which it as if it is to be, titled after Gertrude Stein and focused on women’s artmaking. Building on this work and her photographic practice, the exhibition offers an entry into the lives and archives of queer, trans, and women artists from the twentieth century to today.",,,,,"Johnson-Kulukundis Family Gallery, Byerly Hall
8 Garden St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgDyLcPFXJm8tHQHJ%2AZZ9n3q.jpg,38200
39,Materials Lab Workshop: The Language of Smoke—Incense and Ritual across Time and Space,,,Art/Design,Indoors,"3/31/2026, 9:00:00 AM","3/31/2026, 4:00:00 PM","Assistant professor Paulina Kolata will first guide participants through the galleries in an exploration of Japanese Buddhist incense implements as well as devotional objects and statues shaped by centuries of smoke and fragrance. Then in the Materials Lab with artist Alexis Karl, participants will create their own hand-formed incense using wood, roots, flowers, and herbs traditionally used in Japan.",,,,,"Harvard Art Museums
32 Quincy St. 
Cambridge",,,,,,,https://www.trumba.com/i/DgARhL0FHw81iKywVcJO8Nhb.jpg,38199
